sku,linhas_uplift,real_total,base_total,uplift_total,erro_base,erro_uplift,delta_erro,delta_pct
1254438,20,867.0,462.83996771111407,591.7773106758174,404.16003228888593,275.2226893241826,-128.9373429647033,-0.3190254668045487
1542574,20,6363.0,3507.645887994905,4154.031731825747,2855.354112005095,2208.9682681742534,-646.3858438308416,-0.2263767709627212
1542575,565,127209.0,119615.11228887594,140263.2549404546,7593.887711124058,13054.254940454586,5460.367229330528,0.7190476653126961
1542576,32,6612.0,5036.981986141381,6070.443949082477,1575.0180138586193,541.556050917523,-1033.4619629410963,-0.6561588209453105
1542577,18,24781.0,18678.151334586466,19192.815646723026,6102.848665413534,5588.184353276974,-514.6643121365596,-0.0843318162308856
1604311,33,12610.0,7311.207516438143,8166.47539356567,5298.792483561857,4443.52460643433,-855.2678771275268,-0.161408071703275
1743116,4,550.0,420.4884910345584,448.88319553378915,129.51150896544158,101.11680446621085,-28.394704499230727,-0.21924464262714657
1767991,227,12782.0,14039.46126573758,19080.6155334273,1257.46126573758,6298.615533427299,5041.154267689719,4.00899368039998
1767995,231,17450.0,17559.286155401725,24715.329577548102,109.28615540172541,7265.329577548102,7156.0434221463765,65.47987158887096
1768006,15,3220.0,2428.717521314987,2589.9762163539126,791.2824786850128,630.0237836460874,-161.25869503892545,-0.2037940929854937
1768018,551,50940.0,54600.51267487052,59576.68464636813,3660.5126748705225,8636.684646368129,4976.171971497606,1.359419407466912
1895626,35,33982.0,26167.545004853426,26738.634059735312,7814.454995146574,7243.365940264688,-571.0890548818861,-0.07308111125300228
2032047,511,527840.0,492998.15745398233,513232.9480623276,34841.842546017666,14607.051937672426,-20234.79060834524,-0.5807612092161878
2032053,23,21301.0,15596.124050876455,16148.957109573883,5704.875949123545,5152.042890426117,-552.833058697428,-0.09690536019146238
2032055,51,47365.0,31097.355089727134,32028.413433021247,16267.644910272866,15336.586566978753,-931.058343294113,-0.05723375131615753
2032057,20,11131.0,9409.341220848117,10096.404418947926,1721.6587791518832,1034.5955810520736,-687.0631980998096,-0.3990704815725843
2032059,558,486773.0,457044.18451857707,475217.06383898284,29728.815481422935,11555.936161017162,-18172.879320405773,-0.611288375474015
2032061,18,6854.0,2663.885497958176,2780.843937814514,4190.114502041824,4073.156062185486,-116.95843985633837,-0.02791294600645043
2032068,106,160396.0,118980.3812431231,124343.07829077836,41415.618756876895,36052.92170922164,-5362.697047655252,-0.1294848950376915
2032071,556,220713.0,207142.38851492616,215317.19238276378,13570.611485073838,5395.80761723622,-8174.803867837618,-0.6023902369343483
2032073,22,10457.0,6644.473544121974,7129.271051517921,3812.5264558780264,3327.7289484820794,-484.7975073959469,-0.12715911955142037
2032082,71,8313.0,9516.337362637363,13794.424562805692,1203.3373626373632,5481.424562805692,4278.087200168329,3.555185214886052
2032084,236,19742.0,38461.262500000004,55704.537424214366,18719.262500000004,35962.537424214366,17243.27492421436,0.921151403492224
2060933,575,129214.0,152484.12879089615,194491.69185540266,23270.128790896153,65277.69185540266,42007.56306450651,1.8052140339223608
2060936,8,9250.0,4037.046198112879,4121.281991356767,5212.953801887121,5128.718008643233,-84.23579324388811,-0.016158937225454452
2340368,31,9318.0,5719.692708111123,5941.345586014563,3598.3072918888774,3376.654413985437,-221.65287790344064,-0.061599207606053925
2340375,46,3317.0,2641.6154775271366,3086.613788898391,675.3845224728634,230.3862111016092,-444.9983113712542,-0.6588814172731268
2387158,130,43622.0,35191.61689760813,42590.354161416886,8430.383102391868,1031.6458385831138,-7398.7372638087545,-0.877627644431673
2387255,572,352260.0,329940.7040390839,349750.6557224991,22319.29596091609,2509.3442775008734,-19809.951683415216,-0.88757063475949
2387329,45,42578.0,28409.451004604918,29444.972417984183,14168.548995395082,13133.027582015817,-1035.5214133792651,-0.0730859182345221
2387413,21,5751.0,3705.7079576781207,3966.438719048049,2045.2920423218793,1784.5612809519512,-260.73076136992813,-0.12747849987913631
2387556,18,9585.0,5984.627226000727,6138.832882387049,3600.372773999273,3446.167117612951,-154.2056563863216,-0.042830469528029144
2387558,5,2062.0,863.6108597285067,891.2941905756402,1198.3891402714933,1170.7058094243598,-27.683330847133448,-0.023100452029181297
