data_pedido,quantidade,pred_base,pred_uplift_4_shrink
2026-01-01,44209.0,50279.1247972747,50920.13859879305
2026-01-02,77074.0,48083.68372428283,48790.12794399226
2026-01-03,47494.0,38750.03305136903,39339.81867080843
2026-01-04,52953.0,41743.64140858029,42345.50777292152
2026-01-05,88241.0,57097.053583272456,57670.811542190386
2026-01-06,82119.0,55000.20461653027,55937.75386782138
2026-01-07,77149.0,52149.2827513995,52806.38704620464
2026-01-08,74828.0,50279.1247972747,51050.091433596135
2026-01-09,65821.0,48083.68372428283,48916.160779781196
2026-01-10,45237.0,38750.03305136903,39458.69663108016
2026-01-11,46611.0,41743.64140858029,42479.53347684772
2026-01-12,80262.0,57097.053583272456,57850.51840006821
2026-01-13,79674.0,55000.20461653027,55910.217817679215
2026-01-14,70399.0,52149.2827513995,52761.03679134842
2026-01-15,68112.0,50279.1247972747,51002.82122606535
2026-01-16,58539.0,48083.68372428283,48799.674775808744
2026-01-17,44539.0,38750.03305136903,39288.493212578636
2026-01-18,43141.0,41743.64140858029,42281.97369290354
2026-01-19,71394.0,57097.053583272456,57579.74471029127
2026-01-20,60023.0,55000.20461653027,55803.691341614605
2026-01-21,59192.0,52149.2827513995,52691.14336796803
2026-01-22,60692.0,50279.1247972747,50920.13859879305
2026-01-23,41700.0,48083.68372428283,48724.557253804865
2026-01-24,29639.0,38750.03305136903,39282.09987398699
2026-01-25,26864.0,41743.64140858029,42273.79581765794
2026-01-26,49429.0,57097.053583272456,57571.75059081709
2026-01-27,58040.0,55000.20461653027,55789.10490091247
2026-01-28,47001.0,52149.2827513995,52666.387264934856
2026-01-29,43872.0,50279.1247972747,50920.13859879305
2026-01-30,49737.0,48083.68372428283,48762.02316243849
2026-01-31,31920.0,38750.03305136903,39301.05892299261
